"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a skipped test","IGNORED","2023-01-24T14:39:24.624+02:00[Africa/Harare]","0.0","0.7"
"Serenity id info","This is a skipped test","IGNORED","2023-01-24T14:39:24.628+02:00[Africa/Harare]","0.0","0.71"
"First serenity test","Get all student","SUCCESS","2023-01-24T14:39:26.055+02:00[Africa/Harare]","0.0","5.06"
"Serenity id info","Get all student","SUCCESS","2023-01-24T14:39:26.063+02:00[Africa/Harare]","0.0","5.1"
"First serenity test","This is a pending test","PENDING","2023-01-24T14:39:31.118+02:00[Africa/Harare]","0.0","0.55"
"Serenity id info","This is a pending test","PENDING","2023-01-24T14:39:31.161+02:00[Africa/Harare]","0.0","0.56"
"First serenity test","This is a manual test","PENDING","2023-01-24T14:39:31.675+02:00[Africa/Harare]","0.0","0.54"
"Serenity id info","This is a manual test","PENDING","2023-01-24T14:39:31.721+02:00[Africa/Harare]","0.0","0.55"
"First serenity test","This is a test with error","ERROR","2023-01-24T14:39:32.219+02:00[Africa/Harare]","0.0","0.36"
"Serenity id info","This is a test with error","ERROR","2023-01-24T14:39:32.276+02:00[Africa/Harare]","0.0","0.36"
"First serenity test","This test will get the information of all the student from the Student App","SUCCESS","2023-01-24T14:39:32.587+02:00[Africa/Harare]","0.0","0.37"
"Serenity id info","File does not exist","COMPROMISED","2023-01-24T14:39:32.637+02:00[Africa/Harare]","0.0","0.29"
"Serenity id info","This isa filing","FAILURE","2023-01-24T14:39:32.928+02:00[Africa/Harare]","0.0","0.34"
"First serenity test","File does not exist","COMPROMISED","2023-01-24T14:39:32.956+02:00[Africa/Harare]","0.0","0.3"
"First serenity test","This isa filing","FAILURE","2023-01-24T14:39:33.255+02:00[Africa/Harare]","0.0","0.39"
"Student CRUD test","This test will create a new student","SUCCESS","2023-01-24T14:39:36.909+02:00[Africa/Harare]","0.0","1.44"
"Student CRUD test","Verify if the student was added to the application","SUCCESS","2023-01-24T14:39:38.347+02:00[Africa/Harare]","0.0","0.81"
"Student CRUD test","Update the user information and verify the updated information!","SUCCESS","2023-01-24T14:39:39.155+02:00[Africa/Harare]","0.0","0.52"
"Student CRUD test","Delete the student and verify the student is deleted!","SUCCESS","2023-01-24T14:39:39.672+02:00[Africa/Harare]","0.0","0.51"
"Create student data driven test","DataDriven test for adding multiple students to Student App","SUCCESS","2023-01-24T14:40:05.85+02:00[Africa/Harare]","0.0","30.68"
